ticker,fwd_growth,mature_margin,uncertainty,note
CAT,0.060,0.195,Medium,"Caterpillar CYCLICAL industrial. Mid-cycle inputs not trailing peak: growth 6% (3y CAGR 0.4%/5y 7.3% understate the infra+datacenter-power+electrification capex tailwind; but cyclical+lumpy), mid-cycle op margin 19.5% (recent 19-22% is near peak; troughs ~12-14%). Model computes Narrow moat (cyclical margin/ROIC volatility trips the Wide test) but I AGREE WITH MS on WIDE moat (dealer-network + installed-base parts/services annuity + switching costs; ROIC 15-23% >> 6% WACC durably) - the Wide 15y fade isnt applicable via overrides so logged FV ~$500 credits it partially. Both MS ($680,1star) and I read CAT OVERVALUED at ~$880."
LRCX,0.110,0.320,High,"Lam Research CYCLICAL semicap-equipment (etch leader). Wide moat (model agrees - etch #1/depo #2, ROIC 59%). Mid-cycle growth 11% (3y CAGR 2.8%/5y 6% understate the AI-WFE+advanced-packaging tailwind but its cyclical; recent +24% YoY is upcycle), margin 32% (already near-peak 35% TTM, durable). Uncertainty HIGH override to match MS (semicap cyclicality + China export-control exposure + customer concentration). At High-unc + 11%/32% model prints ~$112-145; center ~$140 = ~0.64x MS $220 - BELOW MS (MS underwrites a longer WFE growth tail). Both read OVERVALUED at ~$315 (61x trailing peak)."
AAPL,0.070,0.325,Medium,"Apple COMPOUNDER. Forward growth 7% - ABOVE the 3.3% 5y / 4.2% 3y CAGR (crediting Services-mix margin/growth + the +16.6% recent YoY reacceleration) but I will NOT underwrite the ~12% reaccel MS implies (contradicts the decade-long low-single-digit hardware CAGR - the documented AAPL divergence). Mature op margin 32.5% (stable). Uncertainty MEDIUM override to match MS (model computes Low via large+durable bump) - China/geopolitical exposure + App Store antitrust + Google-TAC-at-risk + AI lag are real risks. At 7%/32.5%/Medium model prints ~$198 = 0.73x MS $270. Both read OVERVALUED at ~$295. Agree Wide moat."
GOOGL,0.110,0.320,,"Alphabet Class A (same company as GOOG which is done at $390). Identical valuation: 11% growth (Search+Cloud+YouTube tempered for antitrust/remedy overhang) + 32% margin -> $390 vs MS $433 (ratio 0.90), Wide moat, 4 star. GOOGL/GOOG are voting/non-voting shares of one entity; FV is the same."
AVGO,0.200,0.460,,"Broadcom COMPOUNDER (acquisition-built: custom AI accelerators + VMware/infra software annuity). Decelerate the +47.9% YoY AI surge to 20% forward (below 23.5% 5y CAGR; the AI-ASIC ramp with Google/Anthropic/OpenAI is real but customer-concentrated, wont compound 27% perpetually). Mature op margin 46% (between recent 40% and 49% TTM; durable software-mix lift). KEPT model-computed MEDIUM uncertainty (not MS High) - beta only 1.43 and the large recurring software base dampens cyclicality; MS High is specifically AI-customer-concentration. At 20%/46%/Medium model prints $450 = 0.69x MS $650. BELOW MS (MS underwrites a bigger AI ASIC growth tail). Agree Wide moat + undervalued-to-fair direction."
BRK.B,,,Low,"Berkshire Hathaway FINANCIAL/holding-co - DCF INVALID (dcf_applicable=false; model $341 meaningless). Value sum-of-the-parts / normalized P-B: equity portfolio (~$300B marked) + wholly-owned ops (BNSF/BHE/GEICO/insurance) + ~$340B cash. Berkshire fair PB ~1.5-1.6x book (quality ops + float); current PB 1.45, trailing PE 14.5 (cheap for the quality). FV ~$510 = MS, fairly-to-modestly-undervalued. Narrow moat (collection of moaty subsidiaries) + Low uncertainty (fortress balance sheet)."
BRK.A,,,Low,"Berkshire Class A = 1500x BRK.B. FV ~$765,000 (= 1500 x $510), matching MS. Same SOTP/normalized-PB valuation; DCF invalid (holding co). Narrow moat + Low uncertainty."
LLY,0.150,0.410,High,"Eli Lilly COMPOUNDER pharma riding GLP-1 (Mounjaro/Zepbound). Decelerate the +55.5% YoY surge to 15% forward - the obesity TAM is enormous and tirzepatide is best-in-class with oral orforglipron coming, but I will NOT perpetuate 28% (model cap): Novo competition + orals + eventual biosimilars + IRA/pricing cap the rate. Mature op margin 41% (recent 40%, scale-expanding). Uncertainty HIGH override (pharma regulated: patent cliffs, trial/pipeline risk, pricing, competition - model would mis-rate). At 15%/41%/High model prints $854 = 0.95x MS $900. Just BELOW MS; both read OVERVALUED at ~$1135 (40x trailing). Agree Wide moat."
MU,0.100,0.220,High,"Micron CYCLICAL memory (DRAM/NAND/HBM) at the PEAK of an AI-memory super-cycle. Trailing PE 44.8 but fwd PE 8.78 = classic peak earnings (op margin 67.6% TTM is a cyclical top; history swings -37% to +49%). Value MID-CYCLE not peak: through-cycle growth 10% (5y CAGR 7.8% is the real rate; +196% YoY is pure cycle), mid-cycle op margin 22% (crediting some HBM structural uplift above the ~15-18% commodity-memory norm). MS rates NONE moat (commodity, no pricing power) - I AGREE (model says Narrow, but cant override moat). At 10%/22%/High model prints ~$103; I center ~$130. FAR BELOW MS $455 and market $960 - but SAME DIRECTION: both read badly OVERVALUED. Gap = how much HBM permanently raises memorys earning power (MS: a lot; me: skeptical, memory mean-reverts)."
WMT,0.055,0.050,Low,"Walmart STABLE/COMPOUNDER retailer. Growth 5.5% (steady comps + ecommerce). KEY: mature op margin 5.0% - structural EXPANSION from 4.2% TTM as high-margin retail-media/advertising (Walmart Connect), marketplace, and membership (Walmart+) mix up (the MS bull thesis). Wide moat (scale-based cost+logistics advantage - I AGREE with MS; model says Narrow, cant override). Low uncertainty (defensive staple, 0.60 beta). At 5.5%/5.0% model prints ~$68-71 = MS $70. Both read OVERVALUED at ~$119 (42x trailing earnings far too rich for a 5%-grower)."
JPM,,,Medium,"JPMorgan FINANCIAL (money-center bank) - DCF INVALID (model $2179 off bogus 83% gross artifact). Value normalized P/E + P/B-x-ROE: EPS $20.88 x ~15x = ~$307; or sustainable 16.5% ROE on $128 book justifies ~2.3-2.4x P/B = ~$295-307 (premium PB earned by the ROE). FV ~$310 = MS, fairly valued. Wide moat (scale, fortress balance sheet, diversified franchise - agree MS). Medium uncertainty (credit cycle + markets sensitivity + regulation)."
ASML,0.130,0.360,Medium,"ASML EUV-lithography MONOPOLY (sole maker of EUV machines - absolute chokepoint in advanced-chip mfg; unambiguous Wide moat, agree MS, ROIC ~50%). Decelerate the 19.8% 5y CAGR to 13% (EUV/High-NA adoption + AI compute secular driver, but semicap is cyclical+lumpy). Mature op margin 36% (32.8% recent, expanding with High-NA mix). Uncertainty MEDIUM override (model computes Low) - China export-control exposure (lost China DUV revenue) + semicap cyclicality + customer concentration are real risks. At 13%/36%/Medium model prints ~$1246 = 0.89x MS $1400. BELOW MS (MS rates None unc / higher growth); both read fairly-to-modestly OVERVALUED at ~$1600 (54x trailing)."
XOM,0.040,0.160,,"ExxonMobil CYCLICAL integrated energy major. Growth 4% (low-growth major; Guyana + Permian + Pioneer volume growth offsets flat-to-soft prices, funds dividend+buyback). Mid-cycle op margin 16% (cached recent ~14%; XOMs low-cost barrels + downstream/chemicals integration support upper-mid-cycle; range is -15% to +19%). Narrow moat (low-cost integrated franchise - agree MS). At 4%/16% model prints ~$130 = 0.84x MS $156 - slightly BELOW MS (MS uses ~17-18% margin / None unc; model computes Medium). Both read roughly FAIRLY VALUED at ~$148."
ORCL,0.160,0.330,Very High,"Oracle COMPOUNDER mid-transformation (legacy database/apps = stable Narrow-moat ~9% grower + OCI cloud = high-growth/high-RISK AI-datacenter bet). Growth 16% - credits OCI/AI acceleration (RPO backlog from OpenAI/Stargate-class deals; recent +21.7% YoY) above 9.1% 5y CAGR, but not the 20%+ MS implies. Margin 33%. Uncertainty VERY HIGH override to match MS - ORCL is making a tens-of-billions capex bet on AI datacenters, FCF went NEGATIVE (-$4.3B FY25) in the ramp, revenue concentrated in a few mega-customers, financing/execution risk. Moat NARROW (agree MS; model says Wide - database is sticky but OCI has no moat vs AWS/Azure/GCP). At 16%/33%/VeryHigh model prints ~$142; center ~$150 = 0.68x MS $220. BELOW MS (MS credits more OCI growth); I read OVERVALUED at $213, MS fairly valued."
